look.v.02# parece
unselfish.a.01# desinteresada
kind.a.01# amable
find.v.01# dan
good.a.01# buena
# arientacion
react.v.01# contestan
affability.n.01# amabilidad
question.n.01# preguntas
present.v.05# planteadas
# inconforme
service.n.01# servicio
person.n.01# personas
suggestion.n.02# sugerencia
employee.n.01# empleados
best.a.01# mejor
communication.n.02# comunicación
moment.n.01# momento
# ausentarce
topographic_point.n.01# punto
occupation.n.01# trabajo
# turnen
consume.v.02# tomar
# breyk
# siemore
find.v.01# halla
# datafono
transport.v.02# cargado
customer.n.01# clientes
case.n.01# caso
good.a.01# buen
service.n.01# servicio
walk.n.04# paseo
occupation.n.01# empresa
watchfulness.n.02# atencion
facility.n.01# instalaciones
# excelntes
summon.v.02# llamo
march.n.01# marzo
# rabcheras
set_to_music.v.01# musica
# viejitos
# estuvi
set_to_music.v.01# musica
# viejitos
travel.v.01# va
# relarse
people.n.01# gente
complaint.n.03# queja
find.v.01# da
indolence.n.01# pereza
make.v.02# volver
book.n.02# volumen
infernal.a.05# infernal
# ganial
set_to_music.v.01# musica
instrumental.a.01# instrumental
expect.v.03# esperamos
# nbos
refund.v.01# reintegre
money.n.01# dinero
bad.a.01# mal
service.n.01# servicio
miss.v.06# falta
respect.n.03# respeto
region.n.01# parte
personal.a.01# personal
shop.n.01# establecimiento
ad.n.01# publicidad
deceptive.s.02# engañosa
customer.n.01# cliente
talk.v.02# hablan
schedule.n.02# horarios
service.n.01# servicios
offer.v.02# brindan
manner.n.01# manera
offer.v.02# ofrece
joke.n.01# gracias
expect.v.03# esperamos
reaction.n.03# respuesta
