+-------------+------------------------------------------------------------------+---------------------+------------+------------+------------+
|     Verb    |                             context                              |        synset       | Polarity + | Polarity - | Polarity = |
|     have    |                ... the wall has great mexican ...                |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     take    |                           an hour ...                            |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
|     get     |                   ... hour to get our food ...                   |      make.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |                  ... my food was luke warm ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    sever    |                 ... , our sever was running ...                  |     discerp.v.02    |    0.0     |    0.0     |    1.0     |
|      be     |               ... our sever was running around ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     run     |              ... sever was running around like ...               |      tend.v.01      |    0.5     |   0.125    |   0.375    |
|      be     |             ... like he was totally overwhelmed ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|  overwhelm  |                  ... was totally overwhelmed .                   |    overwhelm.v.01   |   0.375    |   0.375    |    0.25    |
|      be     |                     worst was the salmon ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                    there are combos like ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                   ... 23 which is a decent ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                         was like the ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     find    |                       found this place ...                       |     detect.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                    ... could not be happier .                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     seem    |                            like a ...                            |      look.v.02      |    0.0     |    0.0     |    1.0     |
|     grab    |                   ... place to grab a bite ...                   |      catch.v.04     |    0.0     |    0.0     |    1.0     |
|      do     |                   ... , but do yourself a ...                    |     perform.v.01    |    0.0     |    0.0     |    1.0     |
|    favor    |                ... yourself a favor and look ...                 |     prefer.v.03     |   0.375    |    0.0     |   0.625    |
|     look    |                  ... favor and look elsewhere .                  |      look.v.02      |    0.0     |    0.0     |    1.0     |
|    redeem   |                  only redeeming quality of ...                   |     deliver.v.08    |    0.0     |    0.25    |    0.75    |
|      be     |                ... the restaurant was that it ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |               ... that it was very inexpensive ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     make    |                 ... the waiter made me feel ...                  |      make.v.02      |    0.0     |    0.0     |    1.0     |
|     feel    |                   ... made me feel like i ...                    |      feel.v.01      |   0.125    |    0.25    |   0.625    |
|      be     |                 ... like i was stupid every ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     come    |                   ... time he came to the ...                    |     arrive.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                  ... to hiro was a delight ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     suck    |                             sucks .                              |     absorb.v.04     |    0.0     |    0.0     |    1.0     |
|      be     |                           is not a ...                           |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     drag    |                 ... that would drag me into ...                  |      drag.v.01      |    0.0     |    0.25    |    0.75    |
|    judge    |                    to judge whether these ...                    |    evaluate.v.02    |    0.0     |    0.0     |    1.0     |
|      be     |              ... these sides were good because ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |               ... because we were grossed out ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    gross    |                  ... we were grossed out by ...                  |      gross.v.01     |    0.0     |    0.0     |    1.0     |
|     melt    |               ... by the melted styrofoam and ...                |      melt.v.01      |    0.0     |    0.0     |    1.0     |
|     want    |                  ... and didn't want to eat ...                  |      want.v.02      |   0.125    |   0.125    |    0.75    |
|     eat     |                    ... want to eat it for ...                    |      feed.v.06      |    0.0     |    0.0     |    1.0     |
|     get     |                    ... fear of getting sick .                    |      make.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |              ... our server was very attentive ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   provide   |           ... attentive and provided great service ...           |     supply.v.01     |    0.0     |    0.0     |    1.0     |
|    freeze   |                           pucks of ...                           |     freeze.v.04     |    0.0     |    0.0     |    1.0     |
|      do     |                   ... thing i did like was ...                   |     perform.v.01    |    0.0     |    0.0     |    1.0     |
|      be     |                  ... did like was the prime ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                   ... the food is so damn ...                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                     burger is good beef ...                      |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     cook    |                 ... beef , cooked just right ...                 |      cook.v.02      |    0.0     |    0.0     |    1.0     |
|     want    |                     you want a sandwich ...                      |      want.v.02      |   0.125    |   0.125    |    0.75    |
|      go     |                 ... sandwich just go to any ...                  |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |               ... greek dressing was so tasty ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |              ... and hummus was very refreshing ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   refresh   |                    ... was very refreshing .                     |     review.v.04     |    0.0     |    0.0     |    1.0     |
|    order    |                       ordered the duck ...                       |      rate.v.01      |   0.125    |    0.25    |   0.625    |
|      be     |                   ... and it was pink and ...                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     come    |                      came running after ...                      |     arrive.v.01     |    0.0     |    0.0     |    1.0     |
|     run     |                    came running after us ...                     |      tend.v.01      |    0.5     |   0.125    |   0.375    |
|   realize   |               ... when he realized my husband ...                |      gain.v.08      |    0.0     |    0.0     |    1.0     |
|     have    |                 ... my husband had left his ...                  |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|    leave    |             ... husband had left his sunglasses ...              |     forget.v.04     |    0.0     |    0.0     |    1.0     |
|      be     |                     chow mein is so good ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                   have horrible attitudes ...                    |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     talk    |                    ... , and talk down to ...                    |      talk.v.02      |    0.0     |    0.0     |    1.0     |
|    enjoy    |             ... customers don't enjoy their food ...             |      love.v.02      |    1.0     |    0.0     |    0.0     |
|      be     |                        portion was huge !                        |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     love    |                            it ... ...                            |      love.v.02      |    1.0     |    0.0     |    0.0     |
|      be     |             ... downtown vegas is an absolutely ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                      salad had just the ...                      |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|      be     |               ... , which was perfectly cooked ...               |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     cook    |                    ... was perfectly cooked .                    |      cook.v.02      |    0.0     |    0.0     |    1.0     |
|     rip     |                      ripped banana was ...                       |      rend.v.01      |    0.0     |    0.25    |    0.75    |
|      be     |                  ripped banana was not only ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     rip     |                  ... not only ripped , but ...                   |      rend.v.01      |    0.0     |    0.25    |    0.75    |
|   petrify   |              ... , but petrified and tasteless ...               |    rigidify.v.02    |    0.0     |    0.0     |    1.0     |
|    think    |                    least think to refill ...                     |      think.v.02     |   0.125    |    0.0     |   0.875    |
|    refill   |                 ... think to refill my water ...                 |    replenish.v.01   |    0.0     |    0.0     |    1.0     |
|     wave    |                ... struggle to wave you over ...                 |      roll.v.11      |    0.0     |    0.0     |    1.0     |
|   receive   |                   place receives stars for ...                   |   experience.v.03   |    0.0     |    0.0     |    1.0     |
|      be     |                  cocktails are all handmade ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      go     |                   definitely go back here ...                    |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                         are so glad ...                          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     find    |                 ... glad we found this place ...                 |     detect.v.01     |    0.0     |    0.0     |    1.0     |
|     give    |                 ... and they give a military ...                 |      give.v.18      |   0.125    |    0.0     |   0.875    |
|    update   |                          ..... went ...                          |     update.v.02     |    0.0     |    0.0     |    1.0     |
|      go     |                     ..... went back for ...                      |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                  ... and it was still just ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    amaze    |                       ... just as amazing                        |     perplex.v.01    |   0.125    |    0.25    |   0.625    |
|     get     |                         got the food ...                         |      make.v.02      |    0.0     |    0.0     |    1.0     |
|     have    |             ... apparently they have never heard ...             |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     hear    |                 ... have never heard of salt ...                 |      learn.v.02     |    0.0     |    0.0     |    1.0     |
|      be     |                     ... the fish was chewy .                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    finish   |                  ... way to finish a great ...                   |       end.v.01      |    0.0     |    0.0     |    1.0     |
|   include   |                   deal included 5 tastings ...                   |     include.v.01    |    0.0     |    0.0     |    1.0     |
|      go     |                 ... and jeff went above and ...                  |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|    expect   |                      ... what we expected .                      |     expect.v.03     |    0.0     |    0.25    |    0.75    |
|      be     |                        service was meh .                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     take    |                         took over 30 ...                         |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
|     get     |                ... min to get their milkshake ...                |      make.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |                 ... , which was nothing more ...                 |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    guess    |                        guess i should ...                        |    estimate.v.01    |    0.0     |    0.0     |    1.0     |
|     have    |                 ... i should have known that ...                 |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     know    |               ... should have known that this ...                | sleep_together.v.01 |   0.375    |   0.125    |    0.5     |
|     suck    |                ... place would suck , because ...                |     absorb.v.04     |    0.0     |    0.0     |    1.0     |
|      be     |                 ... because it is inside of ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     use     |                  ... i didn't use my common ...                  |       use.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |               scallop dish is quite appalling ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    appall   |               ... is quite appalling for value ...               |     dismay.v.02     |    0.0     |    0.0     |    1.0     |
|      be     |               ... potato fries were very good ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    season   |                   ... good and seasoned well .                   |     season.v.01     |   0.125    |   0.375    |    0.5     |
|      be     |                        is the second ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                 ... time i've been to their ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                  ... and it was pretty good ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                          is so much ...                          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     feel    |                 ... that i feel cheated for ...                  |      feel.v.01      |   0.125    |    0.25    |   0.625    |
|    cheat    |                ... i feel cheated for wasting ...                |      cheat.v.01     |    0.0     |    0.0     |    1.0     |
|    waste    |              ... cheated for wasting an eating ...               |      waste.v.01     |   0.125    |    0.0     |   0.875    |
|     eat     |             ... wasting an eating opportunity by ...             |      feed.v.06      |    0.0     |    0.0     |    1.0     |
|      go     |               ... opportunity by going to rice ...               |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|     come    |                           here is ...                            |     arrive.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                  here is like experiencing ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|  experience |          ... is like experiencing an underwhelming ...           |      feel.v.01      |   0.125    |    0.25    |   0.625    |
|     wait    |                ... parties can't wait for the ...                |     expect.v.03     |    0.0     |    0.25    |    0.75    |
|     ask     |                  ... person to ask to break ...                  |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
|    break    |                      ... ask to break up .                       |     unwrap.v.02     |    0.0     |    0.0     |    1.0     |
|     walk    |                            in and ...                            |      walk.v.01      |    0.0     |    0.0     |    1.0     |
|    smell    |                ... the place smelled like an ...                 |      smell.v.02     |    0.0     |    0.0     |    1.0     |
|     eat     |                    ... others there eating .                     |      feed.v.06      |    0.0     |    0.0     |    1.0     |
|      be     |                   ... roast beef were bland .                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                          place has it !                          |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     cake    |                    pan cakes everyone are ...                    |      coat.v.03      |    0.0     |    0.0     |    1.0     |
|      be     |             ... cakes everyone are raving about ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     rave    |             ... everyone are raving about taste ...              |      rant.v.01      |   0.375    |    0.25    |   0.375    |
|    tailor   |             ... sugary disaster tailored to the ...              |       sew.v.02      |    0.0     |    0.0     |    1.0     |
|     love    |                         love the pho ...                         |      love.v.02      |    1.0     |    0.0     |    0.0     |
|     roll    |                  ... the spring rolls oh so ...                  |      roll.v.12      |   0.125    |   0.375    |    0.5     |
|     have    |                  ... yummy you have to try ...                   |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     try     |                        ... have to try .                         |       try.v.01      |    0.0     |    0.0     |    1.0     |
|     make    |               ... meat ratio made the chicken ...                |      make.v.02      |    0.0     |    0.0     |    1.0     |
|             |                 ... tenders very unsatisfying .                  |  disappointing.s.01 |    0.0     |    0.75    |    0.25    |
|     have    |                        i have to say ...                         |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     say     |                    ... have to say is the ...                    |      state.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                    ... to say is the food ...                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                  ... the food was amazing ! ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    amaze    |                   ... food was amazing ! ! ...                   |     perplex.v.01    |   0.125    |    0.25    |   0.625    |
|      be     |                          are to die ...                          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     die     |                         are to die for !                         |       die.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |                        was fresh and ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                   ... , this was a largely ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|  disappoint |        ... a largely disappointing dining experience ...         |   disappoint.v.01   |    0.0     |    0.25    |    0.75    |
|     dine    |          ... largely disappointing dining experience .           |      dine.v.01      |    0.0     |    0.0     |    1.0     |
|    flirt    |          ... you're outrageously flirting with the ...           |     chat_up.v.01    |    0.0     |    0.0     |    1.0     |
|      be     |                         been to hard ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     step    |                ... never ever step forward in ...                |      pace.v.03      |    0.0     |    0.0     |    1.0     |
|     say     |                           bye bye ...                            |      state.v.01     |    0.0     |    0.0     |    1.0     |
|      go     |                         never go again .                         |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                        be back again ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    arrive   |                        arrived quickly !                         |     arrive.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                         was not good ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    serve    |              ... their cafe serves really good ...               |      serve.v.05     |    0.0     |    0.0     |    1.0     |
|      be     |                   server was fantastic and ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     find    |                  ... when he found out the ...                   |     detect.v.01     |    0.0     |    0.0     |    1.0     |
|     love    |              ... the wife loves roasted garlic ...               |      love.v.02      |    1.0     |    0.0     |    0.0     |
|    roast    |              ... wife loves roasted garlic and ...               |      roast.v.01     |    0.0     |    0.0     |    1.0     |
|     add     |                   ... , he added extra to ...                    |       add.v.01      |    0.0     |    0.0     |    1.0     |
|      go     |                        ... marrow to go !                        |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                ... good thing was our waiter ...                 |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                  ... , he was very helpful ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     keep    |               ... helpful and kept the bloddy ...                |      keep.v.01      |    0.0     |    0.0     |    1.0     |
|     beat    |                     ... you cannot beat it .                     |     perplex.v.01    |   0.125    |    0.25    |   0.625    |
|     love    |                     loved their mussels ...                      |      love.v.02      |    1.0     |    0.0     |    0.0     |
|     cook    |               ... their mussels cooked in this ...               |      cook.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |                  ... the duck was tender , ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                ... potato dishes were delicious .                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                          is one of ...                           |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                   ... that i have been to ...                    |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|      be     |                       ... i have been to .                       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      go     |                    we went to tigerlilly ...                     |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|     have    |              ... tigerlilly and had a fantastic ...              |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|      be     |                     food was delicious , ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |             ... our bartender was attentive and ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     get     |                    ... and we got a great ...                    |      make.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |                  ambience is wonderful and ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                ... and there is music playing ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     play    |                      ... is music playing .                      |       act.v.03      |    0.0     |    0.0     |    1.0     |
|      go     |                         go back next ...                         |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                   ... , let's be honest - ...                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                    ... - yama is not that ...                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     pass    |                least 40min passed in between ...                 |     happen.v.01     |    0.0     |    0.0     |    1.0     |
|    order    |               ... between us ordering and the ...                |      rate.v.01      |   0.125    |    0.25    |   0.625    |
|    arrive   |                 ... the food arriving , and ...                  |     arrive.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                         is a really ...                          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |           ... restaurant which is definitely worth ...           |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    check    |                            it out ...                            |      match.v.01     |   0.375    |    0.0     |   0.625    |
|      be     |                       was pretty gross ...                       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                    had better atmosphere ...                     |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     mess    |                    ... hard to mess up a ...                     |      mess.v.01      |    0.0     |    0.0     |    1.0     |
|      do     |                        ... but they did .                        |     perform.v.01    |    0.0     |    0.0     |    1.0     |
|     like    |                 ... very much liked the look ...                 |      wish.v.02      |   0.125    |    0.0     |   0.875    |
|      be     |               ... actual experience was a bit ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|  disappoint |                    ... a bit disappointing .                     |   disappoint.v.01   |    0.0     |    0.25    |    0.75    |
|     know    |                   just don't know how this ...                   | sleep_together.v.01 |   0.375    |   0.125    |    0.5     |
|    manage   |               ... this place managed to served ...               |     manage.v.02     |    0.0     |    0.0     |    1.0     |
|    serve    |              ... managed to served the blandest ...              |      serve.v.05     |    0.0     |    0.0     |    1.0     |
|     have    |                  ... food i have ever eaten ...                  |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     eat     |                ... have ever eaten when they ...                 |      feed.v.06      |    0.0     |    0.0     |    1.0     |
|      be     |              ... when they are preparing indian ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   prepare   |            ... they are preparing indian cuisine ...             |      cook.v.02      |    0.0     |    0.0     |    1.0     |
|     boot    |                    service to boot , but ...                     |      boot.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |                  ... but that is the least ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                         was fine and ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                 ... the waitress was friendly .                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                    guys all had steaks , ...                     |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     love    |                 ... our steak loving son who ...                 |      love.v.02      |    1.0     |    0.0     |    0.0     |
|     have    |                  ... son who has had steak ...                   |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     have    |                   ... who has had steak at ...                   |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     say     |                 ... worst places said it was ...                 |      state.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                   ... said it was the best ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     eat     |                      ... he's ever eaten .                       |      feed.v.06      |    0.0     |    0.0     |    1.0     |
|    think    |                      thought you'd have ...                      |      think.v.02     |   0.125    |    0.0     |   0.875    |
|     have    |                thought you'd have to venture ...                 |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|   venture   |               ... have to venture further away ...               |      guess.v.02     |    0.0     |   0.125    |   0.875    |
|     get     |                  ... away to get good sushi ...                  |      make.v.02      |    0.0     |    0.0     |    1.0     |
|     hit     |                ... place really hit the spot ...                 |      reach.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                       staff were , for ...                       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     like    |                 ... not a liking this place ...                  |      wish.v.02      |   0.125    |    0.0     |   0.875    |
|     want    |                  ... i don't want to waste ...                   |      want.v.02      |   0.125    |   0.125    |    0.75    |
|    waste    |                  ... want to waste time on ...                   |      waste.v.01     |   0.125    |    0.0     |   0.875    |
|    review   |                   ... on bad reviewing . . ...                   |     review.v.01     |    0.0     |    0.0     |    1.0     |
|    leave    |                    ... . i'll leave it at ...                    |     forget.v.04     |    0.0     |    0.0     |    1.0     |
|   venture   |                   worth venturing off the ...                    |      guess.v.02     |    0.0     |   0.125    |   0.875    |
|    return   |                 ... , will return next time ...                  |     refund.v.01     |    0.0     |    0.0     |    1.0     |
|      be     |                       place is way too ...                       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     have    |                         have a good ...                          |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|   include   |               ... of food including a massive ...                |     include.v.01    |    0.0     |    0.0     |    1.0     |
|      be     |                       management is rude .                       |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     come    |                 ... when you come here every ...                 |     arrive.v.01     |    0.0     |    0.0     |    1.0     |
|     meet    |             ... will not meet your expectations ...              |      meet.v.04      |   0.125    |    0.0     |   0.875    |
|     have    |                       had a seriously ...                        |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|      be     |                          is one of ...                           |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                      was extremely rude ...                      |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                   ... , there are so many ...                    |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     love    |                   ... i would love to dine ...                   |      love.v.02      |    1.0     |    0.0     |    0.0     |
|     dine    |                  ... love to dine at during ...                  |      dine.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |                    drink was never empty ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     make    |                 ... and he made some really ...                  |      make.v.02      |    0.0     |    0.0     |    1.0     |
