+--------------+--------------------------------------------------------------+------------------------+------------+------------+------------+
|     Verb     |                           context                            |         synset         | Polarity + | Polarity - | Polarity = |
|      be      |             story itself is just predictable ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |             ... effects work is the presence ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                ... the scenes is some of ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     see      |                     ... i've ever seen .                     |        see.v.05        |   0.125    |    0.0     |   0.875    |
|      be      |                whatever it was that cost ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  translate   |            ... it didn't translate to quality ...            |    understand.v.03     |    0.0     |    0.0     |    1.0     |
|   succeed    |                 film succeeds despite , ...                  |      succeed.v.01      |   0.125    |    0.0     |   0.875    |
|      go      |                ... film didn't go for the ...                |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|     have     |                  ... certainly would have .                  |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     have     |                addition to having one of ...                 |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    write     |             ... songs ever written , french ...              |       write.v.01       |    0.0     |    0.0     |    1.0     |
|    boast     |              ... cancan also boasts one of ...               |       sport.v.01       |   0.375    |    0.25    |   0.375    |
|     lead     |            ... the cutest leading ladies ever ...            |        run.v.03        |    0.0     |    0.0     |    1.0     |
|    grace     |               ... ever to grace the screen ...               |     decorate.v.01      |    0.0     |    0.0     |    1.0     |
|     fall     |            ... not to fall head-over-heels in ...            |     decrease.v.01      |    0.0     |    0.0     |    1.0     |
|    cause     |              ... enough to cause regret for ...              |      induce.v.02       |    0.0     |    0.0     |    1.0     |
|    waste     |               ... of life wasted in front ...                |       waste.v.01       |   0.125    |    0.0     |   0.875    |
|  recommend   |                 i recommend waiting for ...                  |     recommend.v.01     |    0.0     |   0.125    |   0.875    |
|     wait     |              i recommend waiting for their ...               |      expect.v.03       |    0.0     |    0.25    |    0.75    |
|     let      |                ... efforts , let this one ...                |        let.v.01        |    0.0     |    0.0     |    1.0     |
|      go      |                      ... this one go .                       |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |               heche was utterly convincing ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   convince   |                 ... was utterly convincing .                 |      convert.v.09      |   0.125    |    0.0     |   0.875    |
|      be      |                 ... ho marine was sobering .                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    sober     |                  ... marine was sobering .                   |     sober_up.v.01      |    0.0     |   0.375    |   0.625    |
|     sit      |                      sat riveted to ...                      |       ride.v.01        |    0.0     |    0.0     |    1.0     |
|    rivet     |                    sat riveted to the ...                    |    concentrate.v.02    |   0.125    |    0.0     |   0.875    |
|     give     |                 ... all i give this one ...                  |       give.v.18        |   0.125    |    0.0     |   0.875    |
|   resound    |                ... one a resounding 9 out ...                |    make_noise.v.01     |    0.0     |    0.0     |    1.0     |
|      do      |                       do think tom ...                       |      perform.v.01      |    0.0     |    0.0     |    1.0     |
|    think     |                    do think tom hanks ...                    |       think.v.02       |   0.125    |    0.0     |   0.875    |
|      be      |                 ... tom hanks is a good ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    enjoy     |                   enjoyed reading this ...                   |       love.v.02        |    1.0     |    0.0     |    0.0     |
|     read     |                enjoyed reading this book ...                 |       read.v.01        |    0.0     |    0.0     |    1.0     |
|      be      |                 ... when they were little .                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                  was very disappointed ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  disappoint  |               was very disappointed in the ...               |    disappoint.v.01     |    0.0     |    0.25    |    0.75    |
|      be      |              character is totally annoying ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    annoy     |              ... is totally annoying with a ...              |       annoy.v.01       |    0.0     |    0.0     |    1.0     |
|     give     |               ... voice that gives me the ...                |       give.v.18        |   0.125    |    0.0     |   0.875    |
|      be      |                       is a totally ...                       |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                    was absolutely no ...                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    grate     |                movie totally grates on my ...                |       grate.v.03       |    0.0     |   0.125    |   0.875    |
|      be      |              performances are not improved ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   improve    |          ... are not improved by improvisation ...           |      better.v.02       |   0.375    |    0.0     |   0.625    |
|     have     |               ... actors now have twice as ...               |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    worry     |                ... much to worry about : ...                 |      concern.v.02      |   0.375    |    0.0     |   0.625    |
|   deliver    |         ... whether they're delivering the line ...          |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|      be      |               ... line itself is any good ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    follow    |            ... doesn't really follow from one ...            |      succeed.v.02      |    0.0     |    0.0     |    1.0     |
|     fit      |              ... , or fit the surroundings ...               |       equip.v.01       |    0.0     |    0.0     |    1.0     |
|   crackle    |                     crackles with an ...                     |      crunch.v.01       |    0.0     |    0.0     |    1.0     |
|     find     |                  ... , i found it hard ...                   |      detect.v.01       |    0.0     |    0.0     |    1.0     |
|    follow    |            ... hard to follow and concentrate ...            |      succeed.v.02      |    0.0     |    0.0     |    1.0     |
| concentrate  |             ... follow and concentrate on it ...             |    concentrate.v.02    |   0.125    |    0.0     |   0.875    |
|   meander    |               ... on it meanders so badly ...                |       weave.v.04       |    0.0     |    0.0     |    1.0     |
|      be      |                    are some generally ...                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     say      |                wouldn't say they're worth ...                |       state.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |              suspense builders were good , ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    cross     |                ... & just cross the line ...                 |      thwart.v.01       |    0.0     |    0.0     |    1.0     |
|     like     |             especially liked the non-cliche ...              |       wish.v.02        |   0.125    |    0.0     |   0.875    |
|   predict    |              ... i could predict the dialog ...              |      predict.v.01      |    0.0     |    0.0     |    1.0     |
|     make     |          ... this movie made better selections ...           |       make.v.02        |    0.0     |    0.0     |    1.0     |
|     want     |                     you want a movie ...                     |       want.v.02        |   0.125    |   0.125    |    0.75    |
|     give     |               ... gross but gives you some ...               |       give.v.18        |   0.125    |    0.0     |   0.875    |
|      be      |                  ... , this is a great ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                    nevsky is a great ...                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                      is an amazing ...                       |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    amaze     |                is an amazing film artist ...                 |      perplex.v.01      |   0.125    |    0.25    |   0.625    |
|     live     |                ... important whoever lived .                 |      survive.v.01      |    0.0     |    0.0     |    1.0     |
|      do      |               ... *** didn't do as planned ...               |      perform.v.01      |    0.0     |    0.0     |    1.0     |
|     plan     |                 ... do as planned by the ...                 |       plan.v.02        |    0.0     |    0.0     |    1.0     |
|     help     |             ... it's gonna help movie makers ...             |       help.v.01        |    0.0     |    0.0     |    1.0     |
|   restrain   |             ... the very restrained " movie ...              |     restrict.v.03      |    0.0     |    0.0     |    1.0     |
|     give     |                ... movie i've given a 10 ...                 |       give.v.18        |   0.125    |    0.0     |   0.875    |
|      be      |                     there was ever a ...                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     need     |          ... movie that needed word-of-mouth to ...          |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|   promote    |           ... word-of-mouth to promote , this ...            |     advertise.v.02     |    0.0     |    0.0     |    1.0     |
|      be      |                      ... , this is it .                      |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |             ... the film is interesting and ...              |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   interest   |      ... film is interesting and thought-provoking ...       |      concern.v.02      |   0.375    |    0.0     |   0.625    |
|              |           ... interesting and thought-provoking .            |    challenging.s.02    |   0.125    |    0.0     |   0.875    |
|      be      |                 , it was well-paced and ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     suit     |         ... well-paced and suited its relatively ...         |       befit.v.01       |   0.375    |    0.0     |   0.625    |
|     give     |                         this one ...                         |       give.v.18        |   0.125    |    0.0     |   0.875    |
|     give     |                        gave it a ...                         |       give.v.18        |   0.125    |    0.0     |   0.875    |
|      be      |               ... the lion is well written ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    write     |             ... is well written and superbly ...             |       write.v.01       |    0.0     |    0.0     |    1.0     |
|     act      |                   ... and superbly acted .                   |        act.v.01        |    0.0     |    0.0     |    1.0     |
|      be      |                        is a true ...                         |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     turn     |                  actually turned out to ...                  |   change_state.v.01    |    0.0     |    0.0     |    1.0     |
|      be      |               ... out to be pretty decent ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      go      |                   ... suspense films go .                    |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|    check     |                     worth checking out .                     |       match.v.01       |   0.375    |    0.0     |   0.625    |
|      be      |                  problem was the script ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                       was horrendous .                       |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                  was nothing believable ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |              ... suspense i was feeling was ...              |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     feel     |                ... i was feeling was the ...                 |       feel.v.01        |   0.125    |    0.25    |   0.625    |
|      be      |           ... was feeling was the frustration ...            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    retard    |             ... just how retarded the girls ...              |    decelerate.v.01     |    0.0     |    0.0     |    1.0     |
|      be      |                     ... the girls were .                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                from heaven is a terrific ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |            ... film that is both predictable ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                  scenes are often funny ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    touch     |           ... and occasionally touching as the ...           |       refer.v.02       |    0.0     |    0.0     |    1.0     |
|   evaluate   |         ... the characters evaluate their lives ...          |     evaluate.v.02      |    0.0     |    0.0     |    1.0     |
|      be      |                  ... where they are going .                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      go      |                     ... they are going .                     |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |             ... veteran actors are more than ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |               ... the nun is both touching ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    touch     |              ... is both touching and funny ...              |       refer.v.02       |    0.0     |    0.0     |    1.0     |
|     make     |                ... with out making fun of ...                |       make.v.02        |    0.0     |    0.0     |    1.0     |
|      be      |                   you are looking for ...                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     look     |                  you are looking for a ...                   |       look.v.02        |    0.0     |    0.0     |    1.0     |
|   include    |             ... music ( including a shirley ...              |      include.v.01      |    0.0     |    0.0     |    1.0     |
|     look     |                ... way you look tonight " ...                |       look.v.02        |    0.0     |    0.0     |    1.0     |
|    uplift    |              ... and an uplifting ending , ...               |       elate.v.01       |    0.5     |    0.0     |    0.5     |
|     end      |              ... an uplifting ending , give ...              |        end.v.01        |    0.0     |    0.0     |    1.0     |
|     give     |                ... ending , give this one ...                |       give.v.18        |   0.125    |    0.0     |   0.875    |
|    think     |                   don't think you will ...                   |       think.v.02       |   0.125    |    0.0     |   0.875    |
|      be      |                ... you will be disappointed .                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  disappoint  |                  ... will be disappointed .                  |    disappoint.v.01     |    0.0     |    0.25    |    0.75    |
|      be      |                   ... , it was kind of ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  embarrass   |            ... kind of embarrassing to watch ...             |     obstruct.v.01      |    0.0     |    0.0     |    1.0     |
|    watch     |            ... embarrassing to watch lane and ...            |       watch.v.03       |    0.0     |    0.0     |    1.0     |
|      be      |                   ... because it is bad .                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     act      |                      acting was bad ...                      |        act.v.01        |    0.0     |    0.0     |    1.0     |
|      be      |                     acting was bad , ...                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |          ... the dialogs were extremely shallow ...          |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                   was too predictable ...                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  disappoint  |                       disappointing .                        |    disappoint.v.01     |    0.0     |    0.25    |    0.75    |
|    watch     |            ... really worth watching was the ...             |       watch.v.03       |    0.0     |    0.0     |    1.0     |
|      be      |            ... worth watching was the scenery ...            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                ... because it is beautiful .                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     love     |                       love lane , ...                        |       love.v.02        |    1.0     |    0.0     |    0.0     |
|     see      |                ... i've never seen her in ...                |        see.v.05        |   0.125    |    0.0     |   0.875    |
|     wish     |                 ... half i wish i could ...                  |       wish.v.02        |   0.125    |    0.0     |   0.875    |
|    bring     |                   ... i could bring back .                   |       lend.v.01        |    0.5     |    0.25    |    0.25    |
|    write     |               ... of the writing it's very ...               |       write.v.01       |    0.0     |    0.0     |    1.0     |
|     help     |                 acting helps the writing ...                 |       help.v.01        |    0.0     |    0.0     |    1.0     |
|    write     |             ... helps the writing along very ...             |       write.v.01       |    0.0     |    0.0     |    1.0     |
|     have     |            ... sister could have been played ...             |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|      be      |            ... could have been played better ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     play     |              ... have been played better ) ...               |        act.v.03        |    0.0     |    0.0     |    1.0     |
|      be      |                   ... and it is a real ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    watch     |                      ... joy to watch .                      |       watch.v.03       |    0.0     |    0.0     |    1.0     |
|    direct    |                    directing and the ...                     |      target.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |                   movie was so boring ...                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     bore     |                 ... was so boring , that ...                 |       bore.v.01        |   0.125    |    0.0     |   0.875    |
|     find     |          ... i sometimes found myself occupied ...           |      detect.v.01       |    0.0     |    0.0     |    1.0     |
|    occupy    |           ... found myself occupied peaking in ...           |      concern.v.02      |   0.375    |    0.0     |   0.625    |
|     peak     |            ... myself occupied peaking in the ...            |      top_out.v.03      |    0.0     |    0.0     |    1.0     |
|    watch     |             ... instead of watching ( never ...              |       watch.v.03       |    0.0     |    0.0     |    1.0     |
|    happen    |              ... ( never happened during a ...               |      happen.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |           ... sometimes it was so embarrassing ...           |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  embarrass   |              ... was so embarrassing that i ...              |     obstruct.v.01      |    0.0     |    0.0     |    1.0     |
|     have     |                  ... that i had to look ...                  |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     look     |                    ... had to look away .                    |       look.v.02        |    0.0     |    0.0     |    1.0     |
|    direct    |                   directing seems too ...                    |      target.v.01       |    0.0     |    0.0     |    1.0     |
|     seem     |             directing seems too pretentious ...              |       look.v.02        |    0.0     |    0.0     |    1.0     |
|      be      |           ... " neighbour-girl are a misplace ...            |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   misplace   |                     ... are a misplace .                     |     misplace.v.01      |    0.0     |   0.125    |   0.875    |
|      be      |               ... and plot is weaker than ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    debate    |            ... where they debated whether or ...             |       argue.v.02       |    0.0     |    0.0     |    1.0     |
|     sack     |              ... not to sack the trumpeter ...               |     displace.v.03      |    0.0     |    0.0     |    1.0     |
|      be      |             ... who falsely was accused for ...              |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    accuse    |             ... falsely was accused for the ...              |      accuse.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |               ... murder ) is pure horror ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |               applause should be given to ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     give     |                ... should be given to the ...                |       give.v.18        |   0.125    |    0.0     |   0.875    |
|     like     |                     really liked that .                      |       wish.v.02        |   0.125    |    0.0     |   0.875    |
|     have     |                     movie had you on ...                     |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     make     |              ... seat and made you somewhat ...              |       make.v.02        |    0.0     |    0.0     |    1.0     |
|      go      |                 ... afraid to go to your ...                 |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |               ... the film is really nice ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    advise    |                     advise anyone to ...                     |      propose.v.01      |    0.0     |    0.0     |    1.0     |
|      go      |                 ... anyone to go and see ...                 |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|     see      |                     ... go and see it .                      |        see.v.05        |   0.125    |    0.0     |   0.875    |
|     like     |                     liked this movie ...                     |       wish.v.02        |   0.125    |    0.0     |   0.875    |
|      be      |                only problem is i thought ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    think     |                ... is i thought the actor ...                |       think.v.02       |   0.125    |    0.0     |   0.875    |
|     play     |            ... the actor playing the villain ...             |        act.v.03        |    0.0     |    0.0     |    1.0     |
|      be      |                ... the villain was a low ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     rock     |                     rocked my world ...                      |       rock.v.01        |    0.0     |    0.0     |    1.0     |
|      be      |               ... world and is certainly a ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     see      |                ... a must see for anyone ...                 |        see.v.05        |   0.125    |    0.0     |   0.875    |
|     make     |               ... this didn't make up for ...                |       make.v.02        |    0.0     |    0.0     |    1.0     |
|      be      |              ... , this was a tremendously ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     bore     |              ... a tremendously boring movie .               |       bore.v.01        |   0.125    |    0.0     |   0.875    |
|      be      |                     was no chemistry ...                     |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  understand  |             ... i couldn't understand why he ...             |    understand.v.01     |   0.375    |    0.0     |   0.625    |
|   consider   |            ... he would consider even leaving ...            |        see.v.05        |   0.125    |    0.0     |   0.875    |
|    leave     |         ... consider even leaving his wife-to-be ...         |      forget.v.04       |    0.0     |    0.0     |    1.0     |
|      be      |            ... he supposedly was knocked out ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    knock     |            ... supposedly was knocked out by ...             |       knock.v.06       |    0.0     |    0.25    |    0.75    |
